name;#publications;#publishers;publishers;density
Kyiv National University of Trade and Economics;5;20;"57222761701; 57208318005; 57223189094; 57206722392; 57214945840; 58486436400; 57223197070; 57223192989; 57210122717; 57223193357; 57218796164; 35092459600; 57222762643; 40761116300; 36069484800; 14062340300; 57202445004; 57205633452; 55991791400; 6507463199";0,25
Kyiv National University of Technologies and Design;10;36;"57219251131; 58774913400; 56669962600; 54397154900; 57208521755; 58774812000; 58558047600; 58590959400; 57207486132; 57790936000; 57205054914; 8379858700; 57871710600; 56293536700; 57217259403; 57208315150; 57219987646; 57357228600; 58590065200; 57462354200; 36069041500; 58590501100; 56529699300; 12763275900; 57288541100; 58759111200; 56293328800; 57289566900; 57218097533; 14062340300; 57190217440; 8379859700; 57219207595; 57219207679; 57866119600; 57871570500";0,277777778
Kyiv National University of Culture and Arts;4;14;"57410200200; 58065580900; 57194286624; 58529416400; 57201528033; 58529146600; 58065167400; 57213192586; 57202983284; 58065722200; 57219051365; 57224323862; 57219926403; 57219927935";0,285714286
Kyiv National University Of Construction And Architecture;2;12;"57994426100; 57994735800; 57202629018; 57994271400; 57994430600; 57204054867; 57222122288; 57994731600; 57211341629; 57994112300; 57204204504; 57205628964";0,166666667
Kyiv National University of Construction and Architecture;22;75;"57289061200; 57201367823; 57196297466; 58613681800; 58613979000; 57196218756; 57834108100; 57238668800; 58614422500; 58357473300; 57195940293; 57216639178; 57200075185; 58613980100; 57208030041; 57208036595; 57994435000; 57190379920; 57217127850; 57223340559; 57238839700; 57205628964; 57222154960; 57204956894; 57200315471; 57222152857; 57213689997; 57201521567; 57994271400; 57207756465; 57205432180; 57204054867; 57223105709; 6603771881; 58183584900; 58775405200; 57211341629; 57223103586; 57198815503; 57214932947; 58041897200; 58613683000; 57223113107; 57191869873; 57782309100; 57190371980; 58198351800; 57200070322; 58639172100; 6506632335; 57200075478; 57189330887; 57223110647; 57200090285; 58614422400; 58191932400; 57289225100; 57191709301; 57191869956; 57208035680; 56203633700; 57117757200; 57202629018; 57238143700; 57204068618; 57289575400; 57006838600; 57210745770; 57993962500; 57222122288; 57200088719; 57990104100; 58066372600; 58066695600; 57204204504";0,293333333
Kyiv National Linguistic University;2;6;"57781405800; 57226773363; 57781933200; 57201493699; 57219245760; 57193842796";0,333333333
Kyiv National Economic University named after Vadym Hetman;9;32;"7005535906; 57210596966; 57220080461; 57211859220; 36080712900; 58576006700; 58350422400; 57219838140; 57225048653; 57205494213; 57210340695; 57219776521; 57224891950; 58575067600; 58079870300; 57163770300; 57219841929; 57209266097; 57224906028; 57216675288; 57209682939; 57209275056; 57469611600; 57250162100; 57217384325; 57224901181; 57776314200; 56011088600; 57223372285; 56294073000; 57205482209; 55082042300";0,28125
Kyiv National Economic University Named after Vadym Hetman;7;24;"57210596966; 57210602050; 57210346169; 57204368545; 57189050335; 57212602064; 57201200408; 57210340695; 57207859774; 57211134480; 57214471847; 57210109181; 57210604326; 55337787400; 57190767658; 57210598874; 56658774100; 56011088600; 57219924019; 56005792600; 57204368879; 56505513000; 16427609600; 57210603784";0,291666667
Kryvyi Rih State Pedagogical University;22;64;"57211133873; 57202442074; 7005535906; 57202443202; 57216845494; 57204971507; 57204971103; 57216844651; 57216844690; 57211133927; 57202441530; 6602488378; 57214947158; 35771390000; 57194524952; 57205435051; 57817405900; 57216844461; 56289490700; 57211133211; 57204968238; 56375301300; 57211132858; 57211133386; 57194519666; 57218569282; 57205434015; 56375008500; 57211134522; 57205442322; 6504013231; 57222573408; 57218569952; 57209682824; 57211132753; 57211134574; 57190767658; 57224618454; 57220106666; 57817544300; 57219354228; 57204963511; 57194523680; 57211133844; 24076781900; 57219969645; 57211133711; 56198895000; 57214946343; 24468349400; 57609625200; 57211133531; 56529712600; 57218568346; 57210109157; 57186334600; 57205444378; 57218571289; 57204963622; 6504284746; 57204966667; 57202441017; 57222574729; 57205440436";0,34375
Kryvyi Rih National University;39;105;"58361498900; 57218649181; 6701452682; 56421932500; 58032760800; 55327932300; 56209236800; 57194524952; 56667454100; 57958324300; 57216846209; 57194450553; 57216844520; 55437874800; 57219986242; 57209735730; 57205437197; 8853582400; 56198993400; 57204391479; 34873223200; 56208528500; 57211525398; 57202910724; 57249601800; 57222187401; 57211519694; 57208141832; 58538332100; 56198508200; 57221565484; 57194700789; 57211524268; 57214752324; 57224196483; 56768036800; 57457291800; 56707384000; 56871144900; 55920282900; 57205435473; 57219989495; 6701758844; 7006907313; 57210107845; 35760000200; 57218716959; 36173274800; 56074700700; 57219987216; 7003422441; 57212629056; 57204395562; 57211513734; 57222545815; 57208872125; 57219307041; 57817543900; 57194794096; 56672973500; 6507622924; 57222189938; 58714990600; 55437216200; 57207760507; 57214945875; 6504669408; 57196299547; 57190767658; 56672933500; 6602755095; 8915855500; 57217113190; 56358862200; 56416294500; 57218646952; 56198895000; 56768062700; 55998899600; 24722874000; 57817005600; 57219988925; 57219987640; 57201502714; 57207853900; 57210119994; 56830582800; 57205437871; 6506861526; 57223391078; 57433342400; 57211517801; 57200540704; 56830443700; 58295333100; 58514448100; 57211525198; 57219985822; 56664465800; 6701311020; 57469733500; 56658590500; 55606886900; 57219314239; 57219987391";0,371428571
Kremenchuk Mykhailo Ostrohradskyi National University;8;30;"57215277366; 57201056432; 57216490044; 57034267000; 57203875693; 57215285998; 54421163800; 56830464300; 58089342400; 57196472683; 57220195621; 57203619235; 58089290500; 57803725800; 57211325182; 57189353945; 57105553800; 55367910400; 57963011400; 57207736475; 57193675921; 55367739000; 57220200266; 57192554991; 57194709938; 57220198223; 57195679666; 56167524400; 58089290200; 57211997729";0,266666667
Kotelnikov Institute of Radio Engineering and Electronics;3;7;"23397933100; 55943071100; 7003358846; 57189332649; 57207914339; 6701811465; 35577652100";0,428571429
Korolyov Zhytomyr Military Institute;3;5;"57439049400; 57192962493; 15837853500; 57211300421; 57193520615";0,6
Khmelnytskyi National University;26;64;"57816723500; 57216894492; 57218242610; 58489722800; 57218181382; 57209229155; 57221754084; 6504167965; 57456998700; 26767671500; 57216894081; 57218242499; 36022904200; 58265691700; 57456803900; 57224188196; 57204586464; 57787153400; 45961382900; 57816242200; 57226496405; 57202581724; 39760910600; 57457117500; 25640887200; 57210597621; 57216158412; 57217176350; 57218242553; 57210595103; 56946906000; 57369610700; 57189099973; 35100398600; 57215006812; 57210122465; 56515490200; 57210345069; 16246576200; 57219782006; 56496122100; 57203157573; 58384008400; 57195464300; 35518445600; 57218242746; 58205569400; 54420643500; 36614245500; 57190874014; 6602577533; 57210595709; 58205565100; 57218242749; 57211621395; 57457250500; 57787464100; 57210601085; 56008190300; 54421023400; 58204826500; 58489851400; 54420153900; 57193810866";0,40625
Khmelnytsky National University;3;5;"57188642122; 22833890600; 57210602897; 57210596319; 56499392500";0,6
Khmelnitsky National University;7;23;"57192819394; 57218378684; 57218181382; 36762342200; 26767671500; 36022904200; 57218242499; 36968249300; 56946906000; 7102331155; 22034616000; 57195265085; 57203866506; 57786263500; 57194494846; 57195260301; 54420643500; 57195258206; 57786856200; 6504043018; 56008190300; 54421023400; 54420153900";0,304347826
Kherson State University;20;31;"56290142800; 57194519712; 58316083100; 57211298989; 57210122735; 57209797050; 58781194800; 57190128352; 56435937300; 55557097300; 56006224700; 57202445400; 57222266475; 57202445602; 56436805400; 57219922718; 56006697200; 36572469000; 57202440724; 56436890300; 57383552100; 57219930513; 58204709100; 57210116120; 57190217440; 57209800365; 57741626400; 56289839100; 57209798625; 16431204200; 58781227700";0,64516129
Kherson State Maritime Academy;2;11;"57190293165; 57208404782; 57219434067; 57193756769; 57221704231; 57219444109; 57312351600; 57204000187; 56006854700; 57201647630; 57210103625";0,181818182
Kherson National Technical University;27;66;"6507106971; 57194170611; 56964898800; 57194176077; 57200138613; 57193060813; 57208803547; 33768140200; 6505672018; 57214728471; 57210284988; 24178534800; 57218491539; 57220199155; 56572975800; 57210289620; 57194272113; 57219708595; 57210288367; 57210284358; 24179426400; 56528296400; 57204586464; 57214723707; 25931119500; 57210281765; 56950952000; 57208035249; 57981776100; 56817176300; 57903749300; 57217114044; 57189099973; 57204562536; 58360243200; 57210285190; 57207470263; 57208670254; 57210289513; 24785934700; 57226778954; 57189090865; 55645191800; 57192563039; 57200175137; 7005121594; 57210284497; 57220202076; 57204585374; 56527168200; 8342928100; 57226531722; 6507004007; 57210290179; 57189389867; 57204941407; 57191865839; 57189359335; 57189091127; 56667738100; 57193066468; 57210291515; 57289372000; 41262346600; 57205500086; 57208026222";0,409090909
Kharkov National University of Radioelectronics;6;15;"55902510400; 57190337076; 8326375900; 55975415400; 55976187900; 6701878527; 7801667873; 54895641900; 14018777000; 56535298900; 25650378900; 55975679100; 13105377000; 57188710840; 55976739800";0,4
Kharkov National University of Radio Electronics;12;39;"55736219500; 27867503300; 7003407502; 6602177745; 57249598700; 57204559813; 57201776532; 7801667873; 57216950622; 57249509000; 57207771344; 13105377000; 57216153537; 57249509100; 57214130791; 58680090700; 57222156624; 57207757558; 57249217500; 57208632571; 56007783500; 57211236175; 57188710840; 56007907900; 57217113510; 57209322527; 8326375900; 24479469700; 58100895800; 6506130334; 57216155085; 57189324397; 27867781600; 56008181700; 38761937400; 25650378900; 57572966100; 57193610360; 57193611042";0,307692308
Kharkov National University;2;4;"6701511921; 6602120370; 6602955242; 9336098500";0,5
Kharkov National Automobile and Highway University;2;11;"57206505615; 57196348414; 58133864400; 56013635100; 55903158200; 57195439876; 57204242571; 18038571300; 57196327722; 24342118700; 35336612100";0,181818182
Kharkiv State Academy of Physical Culture;4;19;"57219950990; 57208908609; 57200181035; 57189900331; 57207316012; 57219270711; 57131412000; 57200184449; 56880389300; 57219265791; 57189902375; 58346237000; 57200179096; 57200176930; 57218587704; 57219270369; 57189905178; 57218345552; 57205522560";0,210526316
Kharkiv Petro Vasylenko National Technical University of Agriculture;5;22;"57419897800; 57203343506; 57220185409; 6603838172; 6603094392; 19934020100; 57222118120; 56153126500; 55793789400; 55274100500; 57192718908; 57220184589; 57212035934; 57021876500; 57191613564; 57225710649; 57208034974; 57216346667; 6507867882; 57208036545; 57208851362; 6701486032";0,227272727
Kharkiv Petro Vasilenko National Technical University of Agriculture;2;6;"55890931200; 57195679666; 57190423746; 57212492716; 57200141599; 54421163800";0,333333333
Kharkiv National University of Radioelectronics;20;46;"27867503300; 57188763373; 36069080000; 57189376699; 57189381048; 57163964800; 36602670600; 24484091300; 13105377000; 57196940070; 57219537356; 36183980100; 35298713200; 55386924000; 57221227175; 57202212660; 57188571430; 55976111400; 24399259200; 57202222440; 58266110100; 7004018101; 47861221700; 24479782800; 57188572615; 36069551500; 56940612600; 24448524600; 57218143671; 7005837246; 6506130334; 57199330199; 57194038934; 58066402600; 56712496800; 57203462725; 57218364172; 58314116200; 57188573352; 25625157400; 6507006637; 57203149050; 37059004500; 15769610200; 58137892000; 57816560400";0,434782609
Kharkiv National University of Radio Engineering and Electronics;2;5;"56845919400; 56962726800; 56845066600; 6506997369; 57133089300";0,4
Kharkiv National University of Radio Electronics;233;436;"57218143980; 57217113657; 57201726253; 57265730300; 57189391408; 57207770012; 57215833217; 57193325956; 57203515764; 57194145491; 56455232200; 57208908545; 57191268970; 57190664123; 20433339500; 57907544400; 36117618500; 57208026679; 57206834269; 57202997528; 8357172000; 57218102620; 57571509500; 55930661700; 57216944420; 57210884127; 57212031376; 57210661864; 13105377000; 57715597000; 58266293600; 58067179700; 56866436300; 57961924300; 57203139749; 6603639913; 6507659355; 57217107226; 57189377960; 6602134282; 57190372355; 57671208800; 55977347100; 56825892200; 57191573314; 57210290233; 56439217100; 57904162800; 57205414470; 57260210400; 57200654627; 57216831949; 57208426975; 56865768000; 57202740796; 54401505000; 57216434058; 36118124700; 57243975500; 6701878527; 35298713200; 57208028798; 57208026284; 57193449011; 57249599500; 57210288841; 57223108800; 57189390048; 57208032200; 57203148553; 57220833883; 24483001300; 57209339417; 57210287752; 57189359335; 57195753097; 57765391000; 57208035249; 57224189646; 57958095100; 57202751577; 57203149663; 55386924000; 6506695489; 27867964800; 57218140230; 57226768716; 57194044700; 57876665300; 57196077962; 55793789400; 24479782800; 56866413200; 57194038934; 57215342653; 55226675100; 57210948259; 57216897253; 37000416100; 57217114486; 15833942400; 58266323400; 57210340888; 16302534800; 50562419200; 57816562200; 57467913300; 57163964800; 57196940070; 57226786264; 57195465905; 57208880347; 56007783500; 7004018101; 57234833100; 58733790100; 56440024900; 6602378430; 57207767352; 55245750000; 57207306840; 25929592700; 57212020095; 57203885630; 57190441784; 57222739507; 57203141711; 55225643900; 58624126200; 16644308700; 57189006723; 58066246600; 57188571542; 57876665400; 7202624297; 57225331260; 57189329211; 24483070600; 57715601500; 57189383901; 36070041200; 57226357638; 57219245125; 57189383519; 57195682895; 57907345200; 57217115734; 57249461900; 57235531500; 36776426800; 54895641900; 57188752496; 6505681878; 57208907089; 57211556518; 54408852100; 57203149050; 57220834684; 57249729800; 6602558899; 26021682900; 57204557798; 43061153900; 57188763373; 57021830100; 57249456600; 57218143939; 57191724196; 24484091300; 36183980100; 57219537356; 57219533381; 57202212660; 57216485174; 57196074907; 56911938100; 57217114845; 57189386160; 57217030807; 57189376248; 57219971720; 57204567433; 57219533612; 57218116847; 57194426632; 57210889803; 57194757941; 56008181700; 57385895400; 24482907700; 56423229200; 58298910800; 58624072800; 57021874100; 58266792600; 7202983977; 57207768136; 57218139926; 57195920975; 57190568855; 57204591712; 57816399000; 57216157544; 19934020100; 57226525375; 14018777000; 57194214849; 23988174700; 57021260000; 57218097709; 56845919400; 24483080100; 57352374900; 57215374156; 57189385909; 57202957182; 57189377891; 57208883462; 57220108735; 57194480930; 57815615300; 57196079841; 23566593300; 56153126500; 57195684561; 58239648300; 57385920100; 55225639100; 57196075236; 57219538448; 57194029567; 57210558296; 56866310000; 55975679100; 55976111400; 55645191800; 57204560430; 57748914900; 55903158200; 57224191788; 6507006637; 57195683902; 57207774022; 57204584722; 57209460276; 57204559813; 36021627200; 7801667873; 57208259795; 56866386100; 57204591573; 56448404000; 57200986251; 57219777747; 57199329065; 6602686355; 57195682869; 55644574500; 57211908898; 57224349553; 7005837246; 57439378000; 58066372700; 8353936900; 57212888696; 57208898156; 57208803001; 57210891646; 57194511905; 56866271600; 58128129600; 57204591905; 57202799599; 57224184250; 57034267000; 57211145204; 58066981800; 57226535515; 57224188064; 57385435300; 57603723200; 57189905938; 6507354120; 55930369500; 57196220518; 57201773605; 57208026716; 6602072358; 57216346667; 55967630400; 55736219500; 57189386760; 57468687000; 57188694373; 57218138167; 57207762084; 58375766100; 55658561300; 7004568169; 57208014293; 9535153800; 57222156371; 57220778035; 56736026400; 56529580100; 57189381444; 57105743600; 57201728980; 57207765829; 57197726314; 57203150183; 57224185195; 57202236879; 58690045100; 6506997369; 57250163100; 57201604404; 57352374800; 57209023773; 6507867882; 9534197500; 56938734300; 57224188651; 57201779205; 57210336629; 57216950622; 57216490102; 57209338164; 57249311800; 9534102000; 57218144984; 6602781297; 57211294555; 56485859400; 47861221700; 6603655274; 58670631900; 57188703184; 6603524797; 57207757448; 57219532386; 57226387325; 57224189723; 7103366036; 24314803300; 57191861308; 18037365600; 23987409900; 56486038400; 57105541700; 57219773778; 6506991522; 27867946500; 57219973231; 57439895600; 57057781300; 35868216200; 57170510300; 56338488300; 58127029100; 50462293300; 57191857192; 8860381900; 57211236175; 56294460900; 57208027230; 57816723400; 57191865911; 56866204000; 6506130334; 57215835371; 57199330199; 57189324397; 58266602300; 7005121594; 57775882100; 57203145938; 57203140922; 57207779807; 57207256674; 57210896084; 14024932000; 57221698630; 35867981700; 57215830289; 11739691000; 57521816200; 57192818805; 57221227175; 57202800058; 57210412608; 57221961256; 57191863710; 57384978100; 56658715600; 57215830222; 57217115858; 57218143671; 58266148100; 57220778664; 57191613564; 56658733600; 58265868800; 57439724500; 58266122800; 57188754454; 57204941028; 57219530621; 57211976635; 57210289620; 56249263000; 55225644100; 57250027000; 58298537300; 57211747565; 25224914300; 6507672782; 57211128569; 24527617600; 57208026223; 35867876500; 7005418534; 56940612600; 57467911700; 57209322527; 57212536928; 16647283500; 7003842489; 57216488858; 57204585374; 56685704800; 57208028034; 57220181878; 23099879900; 57191737209; 57215833568";0,53440367
Kharkiv National University;3;10;"8413328400; 57220834880; 6603217324; 57217113483; 57216434058; 7003374031; 57220833932; 55537479700; 56366972700; 57201604404";0,3
KHARKIV NATIONAL MEDICAL UNIVERSITY;2;7;"57221567532; 57572161400; 57222954960; 56571298100; 57224523247; 57222955715; 57208077442";0,285714286
Kharkiv National Medical University;8;26;"57217113894; 57209537448; 57208736671; 57208735856; 57189606227; 57216286733; 57216309697; 57202239038; 57208739166; 57208734786; 11739691000; 57216293767; 57208747381; 57202212660; 57208328654; 57225681352; 6602894386; 16304074400; 57189383519; 57176056300; 57208741852; 57219533612; 57206834269; 57207296183; 57217113553; 57217113552";0,307692308
Kharkiv National Air Force University;9;34;"57215012213; 58100977700; 27867503300; 57201776532; 57188637896; 57188571542; 57217113657; 57188751299; 57221681921; 57189321781; 8383205800; 57193610360; 57188759044; 57207772434; 57189319491; 57207757558; 57202395774; 57429191100; 23397933100; 6507177513; 57439911000; 8326375900; 56103878600; 58100808800; 57210415371; 57202220987; 57200174193; 56535420500; 16460785000; 57207767437; 57189323836; 57366214600; 57205439535; 57193611042";0,264705882
Kharkiv Aviation Institute;5;8;"57218347380; 23397933100; 7003358846; 55943071100; 57204939770; 57202239038; 57369609300; 7006220090";0,625
Kazakh University Ways of Communications;2;9;"57211227840; 42062442900; 57209294160; 57211519772; 56829370400; 57680586200; 57226686023; 57210248989; 57212004854";0,222222222
Kaunas University of Technology;4;23;"57015406500; 55213926600; 6506102040; 6701602170; 55914745500; 36176147700; 55365896500; 55675224038; 8636372500; 55366203500; 8941115700; 36099157800; 56040708100; 55537257700; 7004294720; 57220083739; 25223115000; 35358462400; 55821761900; 8941116100; 55891867500; 56481566900; 15520643500";0,173913043
Karpenko Physico-Mechanical Institute of the Nasu;2;6;"14044776000; 6507619885; 6507074177; 57192204405; 7003965488; 8630747800";0,333333333
Karpenko Physico-Mechanical Institute of the Nas of Ukraine;2;9;"14044776000; 24479471100; 6507619885; 7003965488; 24484062600; 24479899900; 57200140058; 36069376300; 24479946200";0,222222222
Karpenko Physico-Mechanical Institute of the NAS of Ukraine;3;9;"24479471100; 24477369500; 57220270181; 57891499600; 24484062600; 24479899900; 24073673400; 36069376300; 24479946200";0,333333333
Karpenko Physico-Mechanical Institute of NASU;2;5;"6507619885; 7003965488; 24479899900; 57218240455; 6701701199";0,4
Karpenko Physico-Mechanical Institute;6;22;"57191865902; 36069376300; 57204568083; 24479946200; 6701701199; 26535016700; 56738918700; 27868102000; 6602991889; 24479899900; 57198354193; 6507291021; 57216897053; 57198358626; 57198357517; 7003910094; 51561792400; 9041607400; 6507074177; 6506561823; 6603321213; 6504762326";0,272727273
Karpenko Physicomechanical Institute;25;61;"26429019400; 7801581694; 56112269600; 57200051269; 23567031700; 35423018200; 55225598300; 15120101300; 6508053925; 6603186025; 36069376300; 6602083599; 6701701199; 55236470500; 26428937300; 26535016700; 56738918700; 55793015900; 37029845400; 9132976300; 23018760700; 55213880300; 57196082324; 24479899900; 6602325050; 57200140058; 7004706126; 8331723000; 7003342679; 35867996700; 6506318919; 25225832200; 6602604102; 6507270433; 57196074183; 6506425007; 6701329693; 8503707500; 6507733408; 57291606800; 57204349688; 8630747800; 55639536100; 56983067400; 12240482000; 10040626200; 8878713100; 6507619885; 7003965488; 55710433000; 6506561823; 6603321213; 24484062600; 7801666347; 57060567400; 57211858915; 6506624784; 18042456500; 6602731903; 6507972970; 57189328224";0,409836066
Joint Institute for Nuclear Research;3;21;"7006821753; 56652323500; 35333746600; 57194777931; 7003606807; 56764679700; 57188665308; 7007179468; 36994968000; 35756050500; 57201997319; 8848475500; 6701611225; 56548562000; 36053587600; 7103324631; 7003946610; 55400449600; 37063737200; 35218593000; 57210835692";0,142857143
Jiangsu Key Laboratory for Animal Genetic;3;13;"57217827987; 57191849140; 57203214394; 55585685500; 24537410300; 57205214976; 12797438600; 58738388500; 23003372100; 57191846272; 23475388600; 57215856942; 55636690500";0,230769231
Jan Evangelista Purkyně University in Ústí nad Labem;3;7;"56964898800; 57194170611; 57202452375; 57189091127; 16431204200; 55835996700; 58360243200";0,428571429
Jan Evangelista Purkyne University in Usti nad Labem;2;8;"57208669246; 6508032469; 57202452375; 57208667450; 57189091127; 57189099973; 57213830191; 57216491143";0,25
Ivano-Frankovsk National Technical University of Oil and Gas;2;4;"57208315367; 56658371300; 57210601572; 6701457307";0,5
Ivano-Frankivsk National Technical University of Oil and Gas;14;50;"57216830097; 57207692658; 57211316767; 57219595683; 57194426734; 57216844646; 57219908854; 57210595484; 57191408374; 57202444035; 57200158906; 57217424859; 57219605128; 57210361693; 57218515954; 56294368300; 57210746559; 56085800400; 57219593625; 57195202215; 56786456000; 57188683740; 57210603577; 57210747673; 57210599482; 6506028918; 35093092400; 57226525358; 57118099100; 56370045900; 57118168800; 57216844324; 57210412270; 57190441693; 57216488205; 57148613400; 57211134620; 56209026100; 57225986994; 57560603100; 57189322677; 8342928100; 14035688000; 57693386400; 16479343800; 56369374300; 56085357800; 57213686139; 56349175500; 57226529862";0,28
Ivano-Frankivsk National Technical;2;8;"8342928100; 35093092400; 57189321098; 57194426734; 55991578200; 57218346139; 56996131600; 57189322677";0,25
Ivano-Frankivsk National Medical University;2;12;"57353366800; 58516429800; 55356190900; 58776453300; 57024135000; 7005633559; 58776256500; 58776837700; 57209368669; 56754194700; 36538110300; 57214531244";0,166666667
Ivan Kozhedub Kharkiv National Air Force University;18;82;"57196075236; 8369745900; 57193623997; 57208081727; 55976111400; 57220834978; 57216163849; 6603487210; 58181599900; 7004018101; 57808564000; 56941529900; 57226247688; 57218796748; 8256721300; 57814546900; 57196006131; 57201772602; 57190585330; 58101942300; 57242851400; 57188760033; 14024451900; 57210884127; 57365576700; 57216485550; 57190440690; 57208334811; 57468685400; 57222154253; 57195547590; 7007068370; 57217535113; 55816400300; 57567684500; 58101421800; 57705153300; 57884363700; 24448644100; 35796112800; 57196074907; 57193628459; 57217113483; 57201777059; 57331504300; 57197026124; 56462414900; 55696944500; 57215832192; 55976187900; 57218098526; 57210415371; 6602072358; 57242505300; 57439724500; 57884108500; 57716633700; 57218767515; 57463892700; 27867503300; 57211470277; 57204023721; 57204022996; 57715858700; 57218795196; 57222156624; 57196077962; 35300683100; 57216296699; 57218097709; 57439911000; 57201773300; 57885105600; 57242935900; 8389869000; 57242766700; 57217115405; 57212169197; 57196079841; 57207819849; 55515632000; 57883612400";0,219512195
Ivan Franko National University of Lviv;28;82;"55546799000; 55225672300; 35614941000; 56658654000; 55225981100; 57215590974; 6504291150; 57816090200; 58622537200; 55427987800; 55225984600; 58623341100; 57198358626; 6603217599; 6508032469; 57218330885; 57056522400; 55911323100; 57212532898; 57200182620; 58179241400; 6506030300; 57221836609; 57211998878; 57205200124; 58759289700; 14058507400; 57203925513; 57211010573; 57211757719; 57439566700; 57211625090; 6603717269; 57440084600; 58178909800; 57202441589; 56446930100; 58759200300; 24344600300; 57211999203; 57211296063; 24484045400; 57219746667; 56150998100; 55912772800; 57952498600; 37029017400; 57195681431; 58659865200; 57220893712; 58765615300; 6506741420; 24484083900; 58759157800; 56996154800; 6603822526; 57224193208; 57208600873; 57189593851; 57211298904; 9633976500; 6701381337; 14068931300; 57060609200; 57211746686; 57216026438; 57388176500; 58765745100; 57191859439; 6603688826; 57224184490; 8895799200; 6701870733; 8521299600; 57939883600; 57815614700; 25031702700; 8220567800; 8918120300; 14072151900; 57198350314; 25026149500";0,341463415
It-Jim;6;11;"57188728515; 57500699900; 57194161432; 35616087900; 57219534274; 57204560252; 36514483700; 55855168100; 57120086100; 57219530578; 24468827000";0,545454545
IT Step University;7;26;"57191865902; 55225672300; 27867946500; 57192678623; 57191859439; 57210282999; 55485484400; 38461465700; 57207206470; 57205200124; 58287399200; 24479899900; 14018777000; 57209538645; 57198358626; 36571783300; 57204943549; 57202211443; 57204560043; 57191242481; 57191859739; 57189380158; 58579911400; 24483044100; 57202208939; 57209532261";0,269230769
Interregional Academy of Personnel Management;6;19;"25723923500; 58797706100; 57216154189; 57287624400; 57209234608; 58797987300; 57224793856; 58797160400; 57204569103; 58038272500; 57224514968; 58797160500; 58797706000; 58037642900; 57215376552; 57207777103; 55858989400; 58037773400; 57223103722";0,315789474
International Research and Training Center for Information Technologies and Systems;5;4;"7004024546; 16745159200; 58113601400; 6602751396";1,25
International Institute for Applied Systems Analysis;3;17;"57225204351; 56251313500; 7801468004; 35237029800; 6603937012; 35221567100; 6603640566; 56278519400; 35483580300; 6507000038; 6506746263; 57222389548; 6603699621; 6504768192; 7102093164; 6603907326; 55584015900";0,176470588
International Center Institute of Applied Optics NAS of Ukraine;2;2;"7006957897; 37011869800";1
International Center for Molecular Physiology (Dnipropetrovsk Division);2;2;"7004524962; 6603394503";1
International Center for Molecular Physiology;2;7;"55964327300; 36769906700; 55404057900; 7003503916; 7004524962; 37063775700; 14059306600";0,285714286
Institute of Higher Education of the National Academy of Educational Sciences of Ukraine;4;15;"57200140769; 58352680500; 58723352800; 57222225610; 57209587504; 58046113100; 57216392342; 57216441628; 58353331800; 57884110700; 58046189500; 58046183200; 56244928700; 57884863300; 58723619500";0,266666667
Independent Researcher;2;6;"56712496800; 57668304100; 57201528033; 6603298770; 57203228331; 57193122985";0,333333333
I.I. Schmalhausen Institute of Zoology;2;4;"24492765600; 36444835000; 56826325300; 6602491401";0,5
I.Horbachevsky Ternopil National Medical University;2;6;"12785999500; 25123205800; 57204053779; 57205705471; 36069365600; 57202738330";0,333333333
Huizhou University;4;14;"56941660900; 57198345363; 57202213333; 57202913922; 56431193100; 57202218042; 54421204800; 57195395231; 57202214087; 56422273200; 6701855242; 56217194100; 56431191900; 57205096228";0,285714286
Hubei University of Technology;7;27;"56002173700; 55236470500; 56436621500; 24477221900; 57202217441; 57210409647; 57871672100; 55225979800; 58266784400; 57223028554; 57189328709; 24722752200; 57209849108; 57192921573; 35094810800; 57194163686; 56542054800; 58731269500; 12773366800; 57439736800; 35094312700; 58178922900; 36184129600; 57196218374; 57205535789; 58598818200; 58266751400";0,259259259
Higher State Educational Establishment Of Ukraine;2;14;"57200911155; 57204580432; 57204589243; 57204587146; 57201054296; 57204582896; 57204585979; 57204583404; 57204592415; 57204583553; 14010190800; 57204588241; 57194034567; 57201062656";0,142857143
Hetman Petro Sahaidachnyi National Army Academy;5;25;"57218346343; 57217196837; 57217204350; 57217195429; 57191441166; 24484045400; 57226531614; 57194585409; 58165760700; 57209201962; 57219820438; 57189328083; 58165551800; 58165972900; 6701777012; 6602604353; 57226524076; 55920578700; 57224203029; 6701775232; 56446930100; 57217195493; 58681150400; 57221290836; 57194192521";0,2
Henan Institute of Science and Technology;3;11;"57474267900; 57218939172; 57204844670; 57783038700; 57224371422; 57202871853; 36976599600; 57217034499; 57217363297; 24922066300; 56647807400";0,272727273
GeoGuard;3;9;"57243227200; 57189383519; 57202212660; 38461465700; 27867946500; 14018777000; 56423229200; 57219532629; 57219531827";0,333333333
General Staff of the Armed Forces of Ukraine;2;12;"57225147960; 58173745100; 57209022184; 57831991100; 57218108574; 57201773300; 58683416000; 57851255600; 56783874800; 57225139496; 57220834257; 57350779100";0,166666667
General Knowledge Machine Research Group;2;1;6602664028;2
G.V.Kurdyumov Institute for Metal Physics;2;7;"12647200000; 8651882300; 37071964100; 54421204800; 7003787483; 6701855242; 56352290600";0,285714286
G.E. Pukhov Institute for Modelling in Energy Engineering;3;7;"57361512900; 57195589622; 57208247541; 56946900400; 58616560600; 58134372200; 57360754000";0,428571429
