name;#publications;#publishers;publishers;density
Ukrainian Catholic University;32;75;"57215967382; 57751661600; 55274235100; 57207766922; 57201316320; 57215967270; 57215962907; 56022563800; 57509024900; 56288839400; 57452139900; 24764919500; 35614941000; 6602326045; 45861286300; 57417137200; 57207764029; 18234199600; 56925582100; 57215966945; 57206989929; 58115317400; 58120128500; 57200201205; 55208178900; 57207766334; 20735841100; 57207763211; 55430089200; 57204760191; 57215965606; 58573860300; 55176928200; 55575845100; 57967667400; 41862317300; 57191592568; 57222866446; 58484736500; 14833874000; 51561792400; 57385549200; 56041306600; 58573821800; 6602147275; 57444976700; 57216896065; 6701499063; 57215969938; 57215962601; 57218707999; 57215968839; 57214471918; 57647908500; 56021095800; 7006443210; 57854287000; 23978483400; 57215548737; 57189512157; 57215963810; 57456900900; 57385549300; 57204907615; 58573860400; 57215775166; 57215965590; 57188638438; 10040896900; 57215968900; 57271564000; 57215789637; 8721433400; 57201983320; 57215968569";0,426666667
Ukrainian Academy of Printing;13;38;"57208669246; 57213688984; 57209802558; 57214088775; 57210282724; 57214076733; 57208423437; 57218492456; 57205173739; 57205588731; 57207767807; 57224617694; 57202210835; 57214091476; 57215662253; 57217197922; 57207772407; 57213689169; 57226765101; 57786265200; 57202210649; 57202452375; 57208667450; 24503187100; 57226536224; 57207769199; 57643492200; 6506953377; 58204709100; 56946900400; 57214067362; 57214080164; 57210282423; 57189091127; 57374171500; 16431204200; 57213830191; 57226537461";0,342105263
Timoshenko Institute of Mechanics;7;19;"57201605698; 57217606530; 57195257601; 7005549978; 57191950557; 14068009900; 26021932700; 55644784000; 37040833600; 25625792000; 7006031220; 35617175300; 57505305900; 36957383700; 6603001715; 37015344900; 6602779228; 56121410800; 7006220648";0,368421053
The National University of Water and Environmental Engineering;2;7;"57219099137; 58689398400; 36676090900; 57209532403; 57216900898; 57223794502; 57226353868";0,285714286
The Machine Learning Lab;2;5;"57215548737; 57311421700; 57219332094; 57748960300; 56021095800";0,4
TernopilIvan Puluj National Technical University;2;6;"57201334745; 6602372899; 37076165500; 58562566100; 26538924800; 58244218800";0,333333333
Ternopil Volodymyr Hnatiuk National Pedagogical University;4;14;"57103716600; 57214945738; 57216847034; 57204727013; 57215490836; 58286966600; 57214945949; 57221284248; 57257416100; 57221631068; 57383333800; 57190122282; 57194526925; 24331602700";0,285714286
Ternopil National Economic University;29;87;"57204559267; 57219604082; 37122689500; 57208674228; 24179012300; 57208348158; 57215662410; 37123189000; 57215278099; 24479723300; 57193408874; 57219603934; 56205106000; 24178775400; 8356588100; 56090341600; 35366175300; 24315132000; 57216485893; 56008186500; 57210555960; 57210561910; 57203579103; 57219598554; 24179417600; 57189321782; 57209662420; 57219602494; 24179093900; 27868185600; 56090451700; 16552460800; 7801584826; 57711749100; 57200143845; 35518445600; 24723272400; 57220202294; 57216990797; 57204937166; 24178221500; 24480068200; 57202445942; 54421527700; 57208348194; 57219602290; 6602789983; 57188574014; 27468042400; 57208338884; 57200181682; 24483514900; 57188568369; 57219601245; 57103553400; 37122611700; 57216993246; 24722752200; 57188573236; 57210552063; 36069935000; 57188574216; 57208673020; 57210559132; 6701835869; 16202975800; 57189322617; 36069694800; 57216990957; 57264119000; 58616012300; 24833293100; 57200181809; 55225606100; 27867794600; 24178191500; 36069937900; 27867757700; 16479742300; 57188576389; 55226024100; 56403369100; 57200183121; 55225615700; 57202445866; 57190575875; 57208664021";0,333333333
Ternopil Ivan Pului National Technical University;36;9;"10042142600; 26537632000; 24473256500; 56433335500; 25638742300; 7003422815; 6506900339; 55904050700; 8869341200";4
Taurida National V. I. Vernadsky University;3;6;"6701808363; 57204137968; 55975628800; 8242886000; 54890699500; 6603699675";0,5
Taurida National University;2;5;"55883346900; 35243546900; 54394734200; 16024435800; 6508137746";0,4
